data.onset,imported.rt.mean,imported.rt.lower,imported.rt.upper
11/5/2020,0.108936674,0.044851168,0.54536278
12/5/2020,0.101215215,0.043653541,0.499282866
13/5/2020,0.095217989,0.040165408,0.551475594
14/5/2020,0.085260432,0.036300807,0.538814581
15/5/2020,0.077571226,0.035159228,0.457620211
16/5/2020,0.074216855,0.033490506,0.379051573
17/5/2020,0.067182933,0.031791429,0.307244532
18/5/2020,0.061235989,0.030612387,0.284420251
19/5/2020,0.056479471,0.031431147,0.257409216
20/5/2020,0.057357625,0.026802486,0.254046086
21/5/2020,0.056961623,0.026453185,0.313090707
22/5/2020,0.057270201,0.026408203,0.269739861
23/5/2020,0.059989876,0.026759678,0.262245583
24/5/2020,0.058939721,0.026261784,0.26285839
25/5/2020,0.06244154,0.026058124,0.2919746
26/5/2020,0.07959198,0.025358906,0.281544412
27/5/2020,0.080464947,0.024012802,0.309265069
28/5/2020,0.084644307,0.024088452,0.305128259
29/5/2020,0.08618269,0.021408515,0.320390105
30/5/2020,0.081253251,0.021718625,0.304642143
31/5/2020,0.076638617,0.022172631,0.291526433
1/6/2020,0.07397541,0.020428576,0.282542144
2/6/2020,0.070914707,0.020389338,0.266273651
3/6/2020,0.065391972,0.020181081,0.253127739
4/6/2020,0.051228302,0.019747949,0.242494875
5/6/2020,0.04780029,0.020340874,0.232471821
6/6/2020,0.040438012,0.019624494,0.196063463
7/6/2020,0.038744844,0.019208905,0.17729639
8/6/2020,0.035507372,0.019863956,0.159648683
9/6/2020,0.032597185,0.01913509,0.143223204
10/6/2020,0.031158215,0.018947217,0.103104755
11/6/2020,0.030363556,0.018752858,0.080399934
12/6/2020,0.028967766,0.018809293,0.059980139
13/6/2020,0.029163857,0.018684494,0.052896797
14/6/2020,0.028434161,0.019220352,0.054414082
15/6/2020,0.02776135,0.01851347,0.049367677
16/6/2020,0.026035874,0.017458711,0.04992838
17/6/2020,0.024040074,0.014258637,0.05296864
18/6/2020,0.021725017,0.013827865,0.053940961
19/6/2020,0.019621002,0.012342968,0.053988196
20/6/2020,0.017395148,0.011461105,0.057916711
21/6/2020,0.015934064,0.010097107,0.061588053
22/6/2020,0.0143715,0.008768004,0.067404811
23/6/2020,0.013130459,0.007979911,0.060819037
24/6/2020,0.012057618,0.007184955,0.064205765
25/6/2020,0.010969542,0.006700197,0.062999867
26/6/2020,0.010074772,0.006581511,0.060382702
27/6/2020,0.009828876,0.006057825,0.056115723
28/6/2020,0.00881384,0.005788005,0.051630566
29/6/2020,0.008526162,0.005127649,0.049331316
30/6/2020,0.007898352,0.005123896,0.047857905
1/7/2020,0.007554109,0.004904128,0.045486067
2/7/2020,0.00728388,0.004921823,0.045236244
3/7/2020,0.007096591,0.004592308,0.038642519
4/7/2020,0.006783774,0.00469206,0.041947566
5/7/2020,0.006628538,0.004450488,0.032996654
6/7/2020,0.006381644,0.004305052,0.030285985
7/7/2020,0.006210796,0.004581338,0.024785906
8/7/2020,0.006016696,0.004439194,0.02041122
9/7/2020,0.006096404,0.004343105,0.015963644
10/7/2020,0.00604875,0.00475458,0.019224982
11/7/2020,0.006063567,0.004332692,0.017085718
12/7/2020,0.006122984,0.004418417,0.02357038
13/7/2020,0.006310943,0.004453928,0.029449409
14/7/2020,0.006614632,0.004503928,0.037748175
15/7/2020,0.007668299,0.004659231,0.041854174
16/7/2020,0.012007202,0.004657064,0.048215074
17/7/2020,0.013655089,0.004479077,0.04996766
18/7/2020,0.015961564,0.004907604,0.058027477
19/7/2020,0.018670045,0.004830758,0.061864879
20/7/2020,0.021577802,0.005002798,0.063650822
21/7/2020,0.022981745,0.005176668,0.065606634
22/7/2020,0.024481135,0.005188329,0.068797601
23/7/2020,0.026113697,0.005027703,0.076641832
24/7/2020,0.026992192,0.005455597,0.07965742
25/7/2020,0.026974503,0.005455952,0.08927396
26/7/2020,0.027741904,0.005510457,0.096580519
27/7/2020,0.027374371,0.005062013,0.095880486
