"local.rt.mean","local.rt.lower","local.rt.upper","date"
0.522113815,0.249457673,1.486009203,"05/05/2020"
0.565842217,0.280241332,2.002263329,"06/05/2020"
0.656276876,0.306333024,2.184364077,"07/05/2020"
0.712538456,0.308117907,2.685928645,"08/05/2020"
0.740206025,0.276872449,2.944075702,"09/05/2020"
0.738162591,0.283094243,2.783042366,"10/05/2020"
0.695022052,0.242692319,2.480276563,"11/05/2020"
0.652846863,0.245200954,2.129835871,"12/05/2020"
0.622302587,0.239503836,2.069104656,"13/05/2020"
0.607135549,0.252842247,2.1946088,"14/05/2020"
0.450127522,0.226057597,2.160967253,"15/05/2020"
0.425237002,0.217939871,2.171002415,"16/05/2020"
0.457827989,0.19279979,2.102824911,"17/05/2020"
0.517645385,0.197073339,2.157087953,"18/05/2020"
0.631759588,0.217723844,2.591793905,"19/05/2020"
0.69411941,0.263443287,2.804516915,"20/05/2020"
0.739765837,0.287228866,2.967666285,"21/05/2020"
0.899684496,0.361239821,3.120139918,"22/05/2020"
1.219902101,0.36511862,3.332150472,"23/05/2020"
1.656554129,0.399921468,3.490104102,"24/05/2020"
1.973100622,0.348354257,3.629733207,"25/05/2020"
2.099000221,0.33556813,3.672698662,"26/05/2020"
2.224999932,0.422397713,3.577897482,"27/05/2020"
2.239357191,0.363022,3.522442781,"28/05/2020"
2.170366673,0.354661012,3.460820406,"29/05/2020"
1.957118469,0.352933714,3.214826963,"30/05/2020"
1.720898638,0.319715605,2.847000928,"31/05/2020"
1.446419857,0.308917512,2.542115468,"01/06/2020"
1.15100886,0.305611914,2.074177122,"02/06/2020"
0.870184019,0.23436851,1.64088151,"03/06/2020"
0.670090033,0.18018237,1.211997549,"04/06/2020"
0.484862289,0.137250337,0.948573379,"05/06/2020"
0.345918795,0.115559228,0.704787738,"06/06/2020"
0.232606169,0.104997156,0.511117683,"07/06/2020"
0.1727864,0.096696286,0.513623525,"08/06/2020"
0.187650854,0.100210117,0.545231394,"09/06/2020"
0.220710605,0.128141826,0.612995456,"10/06/2020"
0.25562323,0.138093912,0.711966022,"11/06/2020"
0.317954374,0.165861133,0.902841673,"12/06/2020"
0.383463858,0.209335246,1.012734504,"13/06/2020"
0.462267389,0.23749277,1.272200073,"14/06/2020"
0.565480204,0.278040275,1.706503153,"15/06/2020"
0.658612765,0.343946576,1.652732081,"16/06/2020"
0.76339813,0.370514314,1.817910738,"17/06/2020"
0.909229038,0.449401456,1.822502081,"18/06/2020"
1.255017978,0.48952759,3.199703958,"19/06/2020"
2.34345855,0.783830417,3.96110716,"20/06/2020"
2.943689789,1.761097168,4.898167807,"21/06/2020"
3.781680637,2.306878246,5.919775421,"22/06/2020"
4.199860703,2.700351182,6.459848002,"23/06/2020"
4.349620228,2.904322083,7.152710465,"24/06/2020"
4.479108712,3.004368238,7.771487899,"25/06/2020"
4.535005896,2.991160276,7.783386709,"26/06/2020"
4.514563372,3.036615455,7.893872519,"27/06/2020"
4.487578971,3.043970408,7.572332841,"28/06/2020"
4.379799403,2.999890286,7.275280763,"29/06/2020"
4.239541519,3.005798065,6.937017765,"30/06/2020"
4.153150196,2.958581277,6.583614585,"01/07/2020"
4.030689806,2.903345984,6.275741373,"02/07/2020"
3.845672538,2.793349237,5.985869274,"03/07/2020"
3.606564175,2.650097084,5.650969364,"04/07/2020"
3.352436236,2.455163217,5.252133062,"05/07/2020"
3.081723077,2.254117093,4.726058209,"06/07/2020"
2.830351845,2.091082786,4.250286013,"07/07/2020"
2.603123926,1.931992208,3.802313456,"08/07/2020"
2.400179941,1.824922562,3.399017823,"09/07/2020"
2.241139879,1.718942185,3.113316483,"10/07/2020"
2.095323304,1.647444745,2.858859025,"11/07/2020"
1.99537498,1.597590828,2.665455151,"12/07/2020"
1.900405423,1.548636805,2.512140213,"13/07/2020"
1.815986494,1.509185746,2.367710317,"14/07/2020"
1.738573089,1.449351664,2.22778882,"15/07/2020"
1.656966355,1.396076778,2.111328026,"16/07/2020"
1.584742124,1.350010977,1.995272626,"17/07/2020"
1.52382463,1.304351828,1.898284421,"18/07/2020"
1.460795452,1.26442263,1.8005052,"19/07/2020"
1.391251685,1.223968458,1.705645122,"20/07/2020"
1.330868496,1.182724088,1.611106533,"21/07/2020"
1.278703748,1.14104027,1.528550504,"22/07/2020"
1.218335114,1.086883967,1.43891937,"23/07/2020"
